Page Name,Page category ,Link,Content,Post Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Total Non-Like,Love,Wow,Haha,Sad,Angry,Care,Positive,Neg2,Neg,Total Interactions,Overperforming Score,Message
Okezone.com,Portal Berita,https://www.facebook.com/Portal Berita/posts/3809180249163998,UN 2021 ditiadakan,2021-02-04 08:00:50 EST,Link,4.54E+02,2.07E+02,1.40E+02,5.00E+00,2.20E+01,5.60E+01,7.00E+00,2.00E+00,2.00E+00,9.40E+01,5.00E-02,2.30E-01,6.00E-01,7.00E-02,2.00E-02,2.00E-02,7.00E-02,6.20E-01,9.30E-01,5.80E+01,-1.69E+00,Pemerintah memutuskan Ujian Nasional (UN) 2021 ditiadakan karena penyebaran COVID-19 yang semakin meningkat. Ini tanggapan PGRI Jatim?
Portal Berita,Portal Berita,https://www.facebook.com/Portal Berita/posts/10160213344847079,UN 2021 ditiadakan,2021-02-05 15:51:43 EST,Link,1.79E+02,9.00E+00,3.30E+01,0.00E+00,2.00E+00,5.00E+00,0.00E+00,1.00E+00,0.00E+00,8.00E+00,0.00E+00,2.50E-01,6.30E-01,0.00E+00,1.30E-01,0.00E+00,0.00E+00,7.50E-01,1.00E+00,1.60E+02,-1.52E+00,"Palembang Tutup Sekolah, Belajar Daring Lanjut hingga Akhir Tahun 2020"
Portal Berita,Portal Berita,https://www.facebook.com/Portal Berita/posts/4091257030927149,UN 2021 ditiadakan,2021-02-04 22:37:53 EST,Link,6.86E+02,3.20E+02,1.87E+02,7.00E+00,1.00E+01,3.20E+01,1.40E+01,3.00E+00,0.00E+00,6.60E+01,1.10E-01,1.50E-01,4.80E-01,2.10E-01,5.00E-02,0.00E+00,1.10E-01,5.30E-01,8.90E-01,2.29E+02,1.46E+00,"ALHAMDULILLAH! KOUTA GRATIS UNTUK BELAJAR DI RUMAH DARI KEMENDIKBUD CAIR HARI INI Kuota gratis dari Kementerian Pendidikan dan Kebudayaan (Kemendikbud) cari hari ini, Kamis (22/10/2020). Kota belajar, Kemdikbud, diperuntukkan bagi pelajar, mahasiswa, hingga guru di Indonesia. Besaran kuota yang diberikan Kemedikbud ini mulai dari 20 GB hingga 50 GB."
Liputan6,Portal Berita,https://www.facebook.com/Portal Berita/posts/10159565668851435,UN 2021 ditiadakan,2021-02-05 05:20:21 EST,Link,2.39E+02,8.40E+01,1.90E+01,4.00E+00,2.00E+00,9.00E+00,3.00E+00,0.00E+00,0.00E+00,1.80E+01,2.20E-01,1.10E-01,5.00E-01,1.70E-01,0.00E+00,0.00E+00,2.20E-01,5.00E-01,7.80E-01,2.60E+02,1.06E+00,#Terpopuler Pemerintah memutuskan UN 2021 ditiadakan. Bagaimana penentuan lulus setelah UN 2021 ditiadakan? #UN #UN2021
Tempo Media,Portal Berita,https://www.facebook.com/Portal Berita/posts/10158469186308442,UN 2020 ditiadakan,2020-03-23 21:29:04 EDT,Link,2.83E+02,1.30E+01,2.01E+02,1.00E+00,4.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,6.00E+00,1.70E-01,6.70E-01,0.00E+00,1.70E-01,0.00E+00,0.00E+00,1.70E-01,0.00E+00,8.30E-01,2.51E+02,1.02E+00,"SAH! UJIAN NASIONAL 2021 DITIADAKAN Menteri Pendidikan dan Kebudayaan, Nadiem Makarim menyampaikan Ujian Nasional (UN) 2021 ditiadakan. Kebijakan tersebut tertuang dalam surat edaran Nomor 1 Tahun 2021 tentang peniadaan UN 2021. UN 2021 ditiadakan untuk mencegah penularan Covid-19."
VIVA.co.id,Portal Berita,https://www.facebook.com/278014150178/posts/10163781599865179,UN 2021 ditiadakan,2020-03-23 19:40:03 EDT,Link,4.57E+02,5.50E+01,5.58E+02,1.00E+01,3.50E+01,8.00E+00,2.00E+00,0.00E+00,0.00E+00,5.50E+01,1.80E-01,6.40E-01,1.50E-01,4.00E-02,0.00E+00,0.00E+00,1.80E-01,1.50E-01,1.50E-01,1.13E+00,1.65E+01,"UJIAN NASIONAL 2021 DIBATALKAN? INI SKEMA BARU YANG AKAN GANTIKAN UN Menteri Pendidikan dan Kebudayaan, Nadiem Makarim manyatakan Ujian Nasional (UN) 2021 ditiadakan."
Portal Berita,Portal Berita,https://www.facebook.com/374777242078/posts/10160207609862079,UN 2021 ditadakan,2021-02-04 01:46:50 EST,Link,6.08E+02,1.51E+02,2.27E+02,5.00E+00,6.00E+00,1.50E+01,0.00E+00,1.00E+00,0.00E+00,2.70E+01,1.90E-01,2.20E-01,5.60E-01,0.00E+00,4.00E-02,0.00E+00,1.90E-01,5.90E-01,5.90E-01,1.01E+00,6.58E+00,"ISI SURAT EDARAN MENDIKBUD SOAL PENIADAAN UN Setidaknya, ada delapan poin penting dalam SE tersebut, termasuk soal pengganti UN 2021 sebagai syarat kelulusan terbaru bagi siswa tingkat akhir."
Tempo Media,Portal Berita,https://www.facebook.com/160355148441/posts/10158470043963442,UN 2020 ditadakan,2020-03-24 03:40:18 EDT,Link,1.95E+02,1.00E+01,2.40E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,1.00E+00,1.00E+00,2.30E+02,2.58E+00,"UJIAN NASIONAL 2020 RESMI DITIADAKAN “Dari rapat konsultasi via daring (online) antara anggota Komisi X dan Mendikbud Nadiem Makarim maka disiapkan berbagai opsi untuk menentukan metode kelulusan siswa salah satunya dengan nilai kumulatif dalam raport,” ujar Ketua Komisi X DPR RI Syaiful Huda dalam siaran pers yang diterima Kompas.com, Senin malam (23/3/2020)."
Liputan6,Portal Berita,https://www.facebook.com/36786411434/posts/10159565668851435,UN 2021 ditiadakan,2021-02-05 05:20:21 EST,Link,2.37E+02,8.40E+01,1.70E+01,4.00E+00,2.00E+00,9.00E+00,3.00E+00,0.00E+00,0.00E+00,1.80E+01,2.20E-01,1.10E-01,5.00E-01,1.70E-01,0.00E+00,0.00E+00,2.20E-01,5.00E-01,5.00E-01,3.56E+02,4.26E+00,"UJIAN NASIONAL 2021 DITIADAKAN, MENDIKBUD KELUARKAN SURAT EDARAN Ujian akan dilaksanakan dalam bentuk seperti Portofolio berupa evaluasi atas nilai rapor.."
Portal Berita.com,Portal Berita,https://www.facebook.com/357595679961/posts/10159226848139962,UN 2021 dItiadakan,2021-02-04 07:45:23 EST,Link,6.59E+02,3.72E+02,1.26E+02,7.00E+00,5.00E+00,1.40E+01,6.00E+00,1.00E+00,3.00E+00,3.60E+01,1.90E-01,1.40E-01,3.90E-01,1.70E-01,3.00E-02,8.00E-02,2.80E-01,4.20E-01,4.20E-01,1.19E+00,1.60E+01,"UJIAN NASIONAL 2020 RESMI DITIADAKAN “Dari rapat konsultasi via daring (online) antara anggota Komisi X dan Mendikbud Nadiem Makarim maka disiapkan berbagai opsi untuk menentukan metode kelulusan siswa salah satunya dengan nilai kumulatif dalam raport,” ujar Ketua Komisi X DPR RI Syaiful Huda dalam siaran pers yang diterima Kompas.com, Senin malam (23/3/2020)."
